# x_m, y_m, vx_mps, psi_rad, kappa_radpm
8.6500207, -10.0974064, 3.4783158, -0.3312248, 0.3071251
8.6816921, -10.0005398, 3.4485609, -0.3012003, 0.2819937
8.7093351, -9.9071710, 3.4212211, -0.2748241, 0.2607369
8.7354646, -9.8097209, 3.3938813, -0.2493950, 0.2441080
8.7595349, -9.7101201, 3.3670418, -0.2250715, 0.2307429
8.7802525, -9.6148036, 3.3424211, -0.2031778, 0.2186808
8.7993663, -9.5166976, 3.3178004, -0.1818148, 0.2092132
8.8167805, -9.4160105, 3.2931797, -0.1608274, 0.2019238
8.8316970, -9.3179268, 3.2703458, -0.1411440, 0.1946025
8.8447063, -9.2196491, 3.2481339, -0.1221754, 0.1883653
8.8560302, -9.1196715, 3.2259220, -0.1034710, 0.1836782
8.8655927, -9.0184547, 3.2038653, -0.0849760, 0.1802253
8.8731035, -8.9200261, 3.1841364, -0.0674198, 0.1756288
8.8789549, -8.8205101, 3.1644074, -0.0501034, 0.1719287
8.8831281, -8.7200332, 3.1446785, -0.0329648, 0.1690551
8.8855957, -8.6192751, 3.1255705, -0.0160523, 0.1656267
8.8863852, -8.5198038, 3.1086601, 0.0000617, 0.1585633
8.8855972, -8.4198513, 3.0917497, 0.0156070, 0.1526666
8.8832732, -8.3195966, 3.0748393, 0.0306662, 0.1478426
8.8794563, -8.2192618, 3.0588190, 0.0453390, 0.1460255
8.8741699, -8.1191021, 3.0450775, 0.0601954, 0.1504013
8.8673857, -8.0192114, 3.0313360, 0.0755209, 0.1559400
8.8590744, -7.9197952, 3.0175945, 0.0914060, 0.1627365
8.8491202, -7.8202594, 3.0050701, 0.1080679, 0.1699696
8.8373647, -7.7200266, 2.9949572, 0.1255402, 0.1764614
8.8239430, -7.6208347, 2.9848442, 0.1435708, 0.1839909
8.8088457, -7.5228213, 2.9747313, 0.1622366, 0.1926622
8.7916886, -7.4240811, 2.9666884, 0.1819720, 0.1999772
8.7723548, -7.3247240, 2.9608585, 0.2025020, 0.2059312
8.7512610, -7.2271467, 2.9550286, 0.2234237, 0.2135080
8.7284626, -7.1315294, 2.9491987, 0.2448568, 0.2229234
8.7026637, -7.0331061, 2.9473175, 0.2679918, 0.2315333
8.6747633, -6.9360242, 2.9464623, 0.2918777, 0.2418778
8.6452084, -6.8418249, 2.9456070, 0.3163855, 0.2551770
8.6130519, -6.7477411, 2.9466960, 0.3425548, 0.2707436
8.5772231, -6.6515986, 2.9515997, 0.3711875, 0.2883261
8.5399290, -6.5597842, 2.9565034, 0.4008614, 0.3117701
8.5003274, -6.4702885, 2.9627419, 0.4328378, 0.3420165
8.4550999, -6.3769347, 2.9745609, 0.4700834, 0.3780347
8.4089062, -6.2902002, 2.9863800, 0.5094539, 0.4259879
8.3581688, -6.2039593, 3.0021263, 0.5550840, 0.4831655
8.3022381, -6.1187351, 3.0229315, 0.6076697, 0.5543283
8.2453639, -6.0416718, 3.0453315, 0.6656731, 0.6608909
8.1785939, -5.9626361, 3.0790072, 0.7387503, 0.7457271
8.1113920, -5.8940630, 3.1168763, 0.8129738, 0.8350958
8.0365046, -5.8290728, 3.1660209, 0.8988899, 0.8208650
7.9593106, -5.7721626, 3.2197597, 0.9713974, 0.7430841
7.8717100, -5.7169366, 3.2754954, 1.0431296, 0.6256378
7.7889788, -5.6717103, 3.3292689, 1.0960430, 0.5066959
7.6951758, -5.6264070, 3.3830033, 1.1443049, 0.4259226
7.6064916, -5.5881629, 3.4349664, 1.1816597, 0.3466501
7.5131756, -5.5516577, 3.4865865, 1.2131083, 0.2847753
7.4159415, -5.5168434, 3.5380166, 1.2400353, 0.2369919
7.3243971, -5.4865030, 3.5888009, 1.2608381, 0.1965152
7.2279851, -5.4566152, 3.6395853, 1.2790173, 0.1652068
7.1289995, -5.4277539, 3.6904533, 1.2947444, 0.1403686
7.0354778, -5.4019109, 3.7417113, 1.3072971, 0.1191633
6.9388268, -5.3764218, 3.7929692, 1.3182974, 0.1015483
6.8392821, -5.3512633, 3.8442272, 1.3279395, 0.0867475
6.7431125, -5.3278537, 3.8965296, 1.3358900, 0.0740416
6.6467834, -5.3051533, 3.9491704, 1.3426552, 0.0629534
6.5485807, -5.2826627, 4.0018113, 1.3484942, 0.0531878
6.4489388, -5.2604081, 4.0545407, 1.3534721, 0.0444201
6.3527061, -5.2393638, 4.1090493, 1.3573832, 0.0351397
6.2552980, -5.2184178, 4.1635579, 1.3604514, 0.0265688
6.1568791, -5.1975285, 4.2180664, 1.3627168, 0.0185563
6.0579949, -5.1767340, 4.2728394, 1.3642048, 0.0107703
5.9607230, -5.1563873, 4.3291946, 1.3648422, 0.0021122
5.8629479, -5.1359568, 4.3855497, 1.3646304, -0.0063164
5.7648135, -5.1153865, 4.4419049, 1.3635801, -0.0146183
5.6665597, -5.0946407, 4.4983912, 1.3617028, -0.0220218
5.5688468, -5.0737913, 4.5557409, 1.3594171, -0.0237391
5.4711142, -5.0526950, 4.6130907, 1.3569557, -0.0255057
5.3734233, -5.0313468, 4.6704404, 1.3543145, -0.0273307
5.2758005, -5.0097337, 4.7276747, 1.3514870, -0.0293831
5.1779942, -4.9877757, 4.7837526, 1.3483554, -0.0331162
5.0804188, -4.9655291, 4.8398305, 1.3448501, -0.0369555
4.9831389, -4.9429715, 4.8959085, 1.3409628, -0.0409213
4.8861349, -4.9200600, 4.9516628, 1.3366803, -0.0450340
4.7883563, -4.8964994, 5.0027938, 1.3319378, -0.0493060
4.6910825, -4.8725502, 5.0539248, 1.3267763, -0.0537781
4.5943814, -4.8481900, 5.1050559, 1.3211814, -0.0584771
4.4981150, -4.8233420, 5.1552423, 1.3151235, -0.0633531
4.4005717, -4.7975039, 5.1962300, 1.3085117, -0.0677501
4.3038477, -4.7711760, 5.2372178, 1.3014867, -0.0724703
4.2080197, -4.7443453, 5.2782056, 1.2940256, -0.0775517
4.1124855, -4.7168000, 5.3130492, 1.2860520, -0.0823416
4.0155004, -4.6879691, 5.3248544, 1.2775938, -0.0849168
3.9197241, -4.6586038, 5.3366596, 1.2689421, -0.0878845
3.8252419, -4.6287274, 5.3484649, 1.2600689, -0.0912860
3.7301305, -4.5976985, 5.3500851, 1.2507860, -0.0933734
3.6341943, -4.5654007, 5.3395709, 1.2413203, -0.0937012
3.5399541, -4.5326825, 5.3290567, 1.2319420, -0.0943825
3.4475000, -4.4996132, 5.3185424, 1.2226256, -0.0954491
3.3519282, -4.4643985, 5.3080744, 1.2129282, -0.0947396
3.2578252, -4.4286959, 5.2976130, 1.2034349, -0.0939368
3.1660203, -4.3928790, 5.2871517, 1.1942083, -0.0933558
3.0729488, -4.3555689, 5.2759688, 1.1848719, -0.0928174
2.9790654, -4.3169090, 5.2640773, 1.1754789, -0.0922188
2.8881289, -4.2784766, 5.2521857, 1.1664005, -0.0917067
2.7967984, -4.2388952, 5.2399269, 1.1572936, -0.0913205
2.7036857, -4.1975201, 5.2270977, 1.1480085, -0.0908959
2.6143054, -4.1568265, 5.2142685, 1.1391121, -0.0902257
2.5231294, -4.1143246, 5.2010273, 1.1300931, -0.0888707
