# x_m, y_m, vx_mps, psi_rad, kappa_radpm
8.7171464, -10.3299179, 5.0081519, -0.7506708, 0.2309945
8.7808385, -10.2601023, 5.1128177, -0.7282762, 0.2425313
8.8463449, -10.1848085, 5.2153834, -0.7035477, 0.2527796
8.9130273, -10.1040369, 5.3126672, -0.6765580, 0.2624344
8.9734327, -10.0267863, 5.3983730, -0.6507163, 0.2630486
9.0320118, -9.9477408, 5.4780196, -0.6248005, 0.2642581
9.0901003, -9.8648710, 5.5517716, -0.5978728, 0.2683173
9.1472452, -9.7783796, 5.6185109, -0.5697338, 0.2749227
9.1988938, -9.6953115, 5.6081655, -0.5427666, 0.2769412
9.2490392, -9.6095177, 5.5492659, -0.5150243, 0.2818373
9.2973606, -9.5212176, 5.4899552, -0.4862925, 0.2894589
9.3435369, -9.4306306, 5.4322182, -0.4563591, 0.2997359
9.3860701, -9.3405873, 5.3747728, -0.4261024, 0.3078749
9.4259053, -9.2490799, 5.3185853, -0.3948918, 0.3179479
9.4629336, -9.1560420, 5.2649572, -0.3624462, 0.3304607
9.4969125, -9.0616792, 5.2152931, -0.3285706, 0.3454454
9.5276237, -8.9661299, 5.1685163, -0.2932008, 0.3582387
9.5548513, -8.8696423, 5.1248137, -0.2566537, 0.3712090
9.5784097, -8.7724686, 5.0856601, -0.2187847, 0.3866323
9.5981251, -8.6748290, 5.0526930, -0.1793991, 0.4045390
9.6139327, -8.5761618, 5.0266095, -0.1380155, 0.4228726
9.6256015, -8.4764653, 5.0070701, -0.0947316, 0.4395205
9.6328390, -8.3768034, 4.9946602, -0.0499780, 0.4561338
9.6355265, -8.2772892, 4.9898902, -0.0037529, 0.4723768
9.6335379, -8.1778425, 4.9898902, 0.0439278, 0.4819470
9.6267705, -8.0783019, 4.9898902, 0.0917346, 0.4759310
9.6152845, -7.9791748, 4.9928893, 0.1388449, 0.4678457
9.5991528, -7.8805146, 4.9996320, 0.1851389, 0.4579528
9.5784996, -7.7825941, 5.0106708, 0.2304009, 0.4451403
9.5536844, -7.6863003, 5.0270771, 0.2737179, 0.4263363
9.5246878, -7.5907752, 5.0513874, 0.3154228, 0.4094718
9.4916944, -7.4962050, 5.0819934, 0.3556776, 0.3946313
9.4548890, -7.4027758, 5.1174235, 0.3946492, 0.3818628
9.4146823, -7.3111396, 5.1563282, 0.4320201, 0.3654380
9.3711368, -7.2210097, 5.2004033, 0.4678895, 0.3516461
9.3245039, -7.1325775, 5.2480355, 0.5024668, 0.3404739
9.2750351, -7.0460349, 5.2977431, 0.5359600, 0.3319176
9.2219901, -6.9600129, 5.3481409, 0.5689874, 0.3211992
9.1663238, -6.8759705, 5.3650708, 0.6008914, 0.3122424
9.1086105, -6.7945052, 5.3091040, 0.6317457, 0.3063319
9.0491874, -6.7158151, 5.2457182, 0.6617919, 0.3036015
8.9853800, -6.6364581, 5.1761997, 0.6925529, 0.2998410
8.9191642, -6.5590727, 5.0994079, 0.7229580, 0.2978409
8.8522863, -6.4855021, 5.0155790, 0.7526406, 0.2999716
8.7852138, -6.4159462, 4.9261614, 0.7819194, 0.3069459
8.7104429, -6.3430351, 4.8333109, 0.8140482, 0.3073563
8.6354434, -6.2744021, 4.7329385, 0.8453802, 0.3097130
8.5621534, -6.2113622, 4.6250442, 0.8756185, 0.3168218
8.4832482, -6.1476920, 4.5111336, 0.9081591, 0.3214140
8.4006281, -6.0853957, 4.3891903, 0.9412452, 0.3176271
8.3237771, -6.0311430, 4.2539930, 0.9708198, 0.3100272
8.2363339, -5.9732163, 4.1056456, 0.9980337, 0.1667246
8.1557149, -5.9215687, 3.8961982, 0.9976604, -0.2381228
8.0742682, -5.8664394, 3.8961982, 0.9449810, -0.7904950
7.9987003, -5.8068092, 3.8961982, 0.8597830, -0.7756875
7.9275573, -5.7424371, 3.9019596, 0.8219682, -0.0832095
7.8533570, -5.6738126, 4.0354192, 0.8316292, 0.1984030
7.7814930, -5.6096997, 4.1646041, 0.8539804, 0.2572326
7.6990373, -5.5399205, 4.2899005, 0.8834510, 0.2842557
7.6261210, -5.4816473, 4.4116398, 0.9095145, 0.2749383
7.5463877, -5.4213293, 4.5301087, 0.9366936, 0.2693487
7.4598876, -5.3595956, 4.6455574, 0.9651487, 0.2665922
7.3805895, -5.3061310, 4.7582058, 0.9896986, 0.2474956
